pincode,state,countryCode
"=""144044""",PUNJAB,IN
"=""144101""",PUNJAB,IN
"=""144102""",PUNJAB,IN
"=""144103""",PUNJAB,IN
"=""144104""",PUNJAB,IN
"=""144105""",PUNJAB,IN
"=""144106""",PUNJAB,IN
"=""144201""",PUNJAB,IN
"=""144202""",PUNJAB,IN
"=""144204""",PUNJAB,IN
"=""144205""",PUNJAB,IN
"=""144206""",PUNJAB,IN
"=""144207""",PUNJAB,IN
"=""144208""",PUNJAB,IN
"=""144209""",PUNJAB,IN
"=""144210""",PUNJAB,IN
"=""144211""",PUNJAB,IN
"=""144212""",PUNJAB,IN
"=""144213""",PUNJAB,IN
"=""144214""",PUNJAB,IN
"=""144216""",PUNJAB,IN
"=""144221""",PUNJAB,IN
"=""144222""",PUNJAB,IN
"=""144223""",PUNJAB,IN
"=""144224""",PUNJAB,IN
"=""144301""",PUNJAB,IN
"=""144302""",PUNJAB,IN
"=""144303""",PUNJAB,IN
"=""144305""",PUNJAB,IN
"=""144306""",PUNJAB,IN
"=""144311""",PUNJAB,IN
"=""144401""",PUNJAB,IN
"=""144402""",PUNJAB,IN
"=""144403""",PUNJAB,IN
"=""144404""",PUNJAB,IN
"=""144405""",PUNJAB,IN
"=""144406""",PUNJAB,IN
"=""144407""",PUNJAB,IN
"=""144408""",PUNJAB,IN
"=""144409""",PUNJAB,IN
"=""144410""",PUNJAB,IN
"=""144411""",PUNJAB,IN
"=""144415""",PUNJAB,IN
"=""144416""",PUNJAB,IN
"=""144417""",PUNJAB,IN
"=""144418""",PUNJAB,IN
"=""144419""",PUNJAB,IN
"=""144421""",PUNJAB,IN
"=""144422""",PUNJAB,IN
"=""144501""",PUNJAB,IN
"=""144502""",PUNJAB,IN
"=""144503""",PUNJAB,IN
"=""144504""",PUNJAB,IN
"=""144505""",PUNJAB,IN
"=""144506""",PUNJAB,IN
"=""144507""",PUNJAB,IN
"=""144508""",PUNJAB,IN
"=""144509""",PUNJAB,IN
"=""144510""",PUNJAB,IN
"=""144511""",PUNJAB,IN
